codigo_municipio,codigo_uf_ibge,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,populacao_total,populacao_crescimento_pct,ano_referencia_idhm,idhm,idhm_renda,idhm_educacao,idhm_longevidade,ideb,fluxo,aprendizado,nota_mt,nota_lp,crimes_total_indicadores,mortes_violentas_intencionais,homicidios_dolosos,feminicidios,estupros,furto_veiculos,taxa_crimes_100k,taxa_mortes_violentas_100k,taxa_homicidios_100k,taxa_feminicidios_100k,taxa_estupros_100k,taxa_furto_veiculos_100k,lag_1_taxa_crimes_100k,lag_1_taxa_mortes_violentas_100k,variacao_taxa_crimes_100k_pct,risco_indice
2211001,22,PI,Teresina,teresina,2019,864845,0.395035301273916,2010,0.751,0.731,0.707,0.82,4.0,0.8793,4.5994,273.09,272.17,5638.0,242,224,5.0,259.0,1809.0,651.9087235284935,27.98189270909816,25.90059490428921,0.5781382791135984,29.947562858084396,209.1704293832999,649.4923628056213,39.12045152198291,0.3720383581470088,0.2987648376229573
2211001,22,PI,Teresina,teresina,2020,868075,0.3734773283073922,2010,0.751,0.731,0.707,0.82,,,,,,4721.0,293,270,6.0,285.0,1162.0,543.8470178268007,33.752843936295825,31.103303286006394,0.6911845174668088,32.831264579673416,133.85940154940528,651.9087235284935,27.98189270909816,-16.576201821138802,0.3578022723640243
2211001,22,PI,Teresina,teresina,2021,871126,0.3514673271318713,2010,0.751,0.731,0.707,0.82,4.2,0.9378,4.4881,267.87,269.63,5022.0,322,308,11.0,351.0,873.0,576.4952486781476,36.9636539375475,35.35653854895847,1.26273351960566,40.292678671053324,100.21512387415827,543.8470178268007,33.752843936295825,6.003201227765942,0.4704657752669522
2304400,23,CE,Fortaleza,fortaleza,2016,2607779,,2010,0.754,0.749,0.695,0.824,,,,,,10781.0,1046,965,0.0,458.0,2820.0,413.4169344871632,40.110760919541114,37.00466949078123,0.0,17.562837955210163,108.13799789015864,,,,0.27466587826288263
2304400,23,CE,Fortaleza,fortaleza,2017,2625240,0.669573610340457,2010,0.754,0.749,0.695,0.824,4.1,0.9146,4.4309,267.37,266.28,11845.0,2029,1932,0.0,504.0,2734.0,451.19684295531073,77.28817174810683,73.59327147232253,0.0,19.198244731910226,104.14285931952887,413.4169344871632,40.110760919541114,9.13845208470061,0.5312118323229552
2304400,23,CE,Fortaleza,fortaleza,2018,2643247,0.6859182398561758,2010,0.754,0.749,0.695,0.824,,,,,,9433.0,1540,1445,5.0,478.0,2345.0,356.87168092879705,58.26167588575717,54.6676114642332,0.18916128534336746,18.083818878825927,88.71664282603933,451.19684295531073,77.28817174810683,-20.905545661332614,0.419536995192124
2304400,23,CE,Fortaleza,fortaleza,2019,2669342,0.9872327482070452,2010,0.754,0.749,0.695,0.824,4.4,0.9453,4.649,272.82,275.73,6662.0,708,636,6.0,604.0,2582.0,249.5746142682354,26.523390408572602,23.826096468717758,0.2247744949879034,22.62729916211561,96.72795767646109,356.87168092879705,58.26167588575717,-30.066007586062714,0.22436283513635757
2304400,23,CE,Fortaleza,fortaleza,2020,2686612,0.646975921406856,2010,0.754,0.749,0.695,0.824,,,,,,9451.0,1303,1216,4.0,554.0,2591.0,351.7813513823358,48.49974614868094,45.26146685863087,0.14888640414023313,20.62076697342229,96.44116828183601,249.5746142682354,26.523390408572602,40.95237707319528,0.3575967213383068
2304400,23,CE,Fortaleza,fortaleza,2021,2703391,0.6245412437672515,2010,0.754,0.749,0.695,0.824,4.3,0.9466,4.5863,269.21,274.93,7974.0,927,871,5.0,547.0,2313.0,294.9628818028913,34.29026729762732,32.21879483951822,0.18495289804545476,20.23384704617275,85.55921063582737,351.7813513823358,48.49974614868094,-16.151643444478957,0.26754084245223764
2408102,24,RN,Natal,natal,2016,864563,,2010,0.763,0.768,0.694,0.835,,,,,,4457.0,562,495,0.0,78.0,698.0,515.5205577846842,65.00393840587672,57.25435856033626,0.0,9.021898924659046,80.73442883861557,,,,0.4018938745023336
