codigo_municipio,sigla_uf,nome_municipio,nome_municipio_padronizado,ano,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_feminicidio,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_furto_veiculos,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_estupro,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_policiais_confronto,quantidade_posse_uso_entorpecente,quantidade_mortes_violentas_intencionais,quantidade_morte_policiais_militares_fora_de_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_latrocinio,quantidade_porte_ilegal_arma_de_fogo,quantidade_mortes_intervencao_policial,quantidade_roubo_furto_veiculos,quantidade_posse_ilegal_arma_de_fogo,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_trafico_entorpecente,quantidade_roubo_veiculos,quantidade_lesao_corporal_morte,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_homicidio_doloso,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais
5002704,MS,Campo Grande,campo grande,2018,0.0,9.0,0.0,2224.0,0.0,659.0,0.0,0.0,1.0,505.0,154,0.0,0.0,12,134.0,21.0,2624.0,120.0,1513.0,1050.0,400.0,0.0,0.0,254.0,121,13.0
5103403,MT,Cuiabá,cuiaba,2018,0.0,6.0,0.0,778.0,0.0,313.0,0.0,0.0,1.0,508.0,137,0.0,0.0,10,120.0,12.0,1945.0,60.0,0.0,671.0,1167.0,1.0,0.0,180.0,114,8.0
1501402,PA,Belém,belem,2018,0.0,8.0,0.0,1158.0,0.0,552.0,0.0,0.0,14.0,334.0,1043,0.0,0.0,60,131.0,132.0,2868.0,27.0,2015.0,887.0,1710.0,5.0,0.0,158.0,846,12.0
2507507,PB,João Pessoa,joao pessoa,2018,0.0,5.0,0.0,436.0,0.0,35.0,0.0,0.0,3.0,152.0,258,0.0,0.0,8,0.0,11.0,1460.0,0.0,0.0,252.0,1024.0,1.0,0.0,0.0,238,4.0
2611606,PE,Recife,recife,2018,0.0,6.0,0.0,1307.0,0.0,465.0,0.0,0.0,0.0,744.0,613,0.0,0.0,7,217.0,12.0,4623.0,98.0,1818.0,1395.0,3316.0,0.0,0.0,315.0,594,1.0
2211001,PI,Teresina,teresina,2018,0.0,9.0,0.0,2024.0,0.0,224.0,0.0,0.0,1.0,174.0,337,0.0,0.0,22,0.0,13.0,5001.0,0.0,0.0,409.0,2977.0,2.0,0.0,0.0,300,3.0
4106902,PR,Curitiba,curitiba,2018,0.0,7.0,0.0,4860.0,0.0,797.0,0.0,0.0,3.0,3530.0,403,0.0,0.0,15,0.0,81.0,7713.0,0.0,1990.0,1532.0,2853.0,9.0,0.0,476.0,298,20.0
3304557,RJ,Rio de Janeiro,rio de janeiro,2018,0.0,22.0,0.0,7050.0,0.0,1642.0,0.0,0.0,41.0,1204.0,1987,0.0,0.0,66,0.0,558.0,31848.0,0.0,9063.0,1998.0,24798.0,25.0,0.0,936.0,1338,28.0
2408102,RN,Natal,natal,2018,0.0,6.0,0.0,594.0,0.0,114.0,0.0,0.0,4.0,66.0,446,0.0,0.0,20,56.0,35.0,4027.0,0.0,0.0,103.0,3433.0,61.0,0.0,56.0,330,7.0
1100205,RO,Porto Velho,porto velho,2018,0.0,4.0,0.0,1860.0,0.0,355.0,0.0,0.0,0.0,388.0,160,0.0,0.0,4,0.0,2.0,3338.0,0.0,0.0,509.0,1478.0,2.0,0.0,0.0,152,1.0
1400100,RR,Boa Vista,boa vista,2018,0.0,2.0,0.0,644.0,0.0,219.0,0.0,0.0,2.0,181.0,175,0.0,0.0,12,54.0,1.0,1194.0,22.0,432.0,375.0,550.0,7.0,0.0,88.0,155,0.0
4314902,RS,Porto Alegre,porto alegre,2018,0.0,22.0,0.0,2957.0,0.0,672.0,0.0,0.0,0.0,1468.0,584,0.0,0.0,13,0.0,33.0,11168.0,0.0,3816.0,2140.0,8211.0,1.0,0.0,0.0,537,5.0
4205407,SC,Florianópolis,florianopolis,2018,0.0,4.0,0.0,525.0,0.0,232.0,0.0,0.0,0.0,646.0,123,0.0,0.0,1,67.0,22.0,789.0,42.0,0.0,2161.0,264.0,2.0,0.0,109.0,98,17.0
2800308,SE,Aracaju,aracaju,2018,0.0,4.0,0.0,366.0,0.0,151.0,0.0,0.0,4.0,95.0,344,0.0,0.0,8,0.0,54.0,1317.0,0.0,466.0,191.0,951.0,1.0,0.0,147.0,281,15.0
3550308,SP,São Paulo,sao paulo,2018,0.0,29.0,0.0,40395.0,0.0,2590.0,0.0,0.0,29.0,1588.0,1225,0.0,0.0,82,1139.0,406.0,67255.0,0.0,9588.0,8651.0,26860.0,14.0,0.0,1139.0,723,33.0
1721000,TO,Palmas,palmas,2018,0.0,0.0,0.0,606.0,0.0,123.0,0.0,0.0,0.0,45.0,73,0.0,0.0,3,23.0,4.0,798.0,32.0,270.0,104.0,192.0,1.0,0.0,55.0,65,5.0
2704302,AL,Maceió,maceio,2019,0.0,10.0,0.0,665.0,0.0,323.0,0.0,0.0,2.0,89.0,293,0.0,0.0,3,404.0,38.0,1267.0,296.0,614.0,944.0,602.0,2.0,0.0,700.0,288,12.0
2304400,CE,Fortaleza,fortaleza,2019,0.0,6.0,0.0,2582.0,0.0,604.0,0.0,0.0,2.0,1104.0,708,0.0,0.0,8,0.0,51.0,5323.0,0.0,2443.0,3301.0,2741.0,13.0,0.0,0.0,636,7.0
5300108,DF,Brasília,brasilia,2019,0.0,32.0,0.0,5137.0,0.0,762.0,0.0,0.0,0.0,5576.0,461,0.0,0.0,25,578.0,8.0,8562.0,244.0,3160.0,2597.0,3425.0,6.0,0.0,997.0,422,1.0
3205309,ES,Vitória,vitoria,2019,0.0,2.0,0.0,595.0,0.0,125.0,0.0,0.0,0.0,187.0,80,0.0,0.0,0,80.0,3.0,841.0,5.0,126.0,524.0,246.0,4.0,0.0,85.0,73,3.0
5208707,GO,Goiânia,goiania,2019,0.0,1.0,0.0,2393.0,0.0,501.0,0.0,0.0,0.0,3460.0,420,0.0,0.0,4,271.0,135.0,3417.0,0.0,1633.0,1488.0,1024.0,16.0,0.0,453.0,265,32.0
2111300,MA,São Luís,sao luis,2019,0.0,8.0,0.0,748.0,0.0,275.0,0.0,0.0,0.0,680.0,264,0.0,0.0,24,249.0,33.0,1906.0,0.0,2091.0,933.0,1158.0,3.0,0.0,249.0,204,12.0
5103403,MT,Cuiabá,cuiaba,2019,0.0,0.0,0.0,1040.0,0.0,292.0,0.0,0.0,0.0,410.0,99,0.0,0.0,5,137.0,17.0,2026.0,81.0,0.0,754.0,986.0,0.0,0.0,218.0,94,17.0
1501402,PA,Belém,belem,2019,0.0,4.0,0.0,1007.0,0.0,354.0,0.0,0.0,10.0,325.0,456,0.0,0.0,16,62.0,107.0,1807.0,45.0,1704.0,997.0,800.0,4.0,0.0,107.0,329,23.0
2507507,PB,João Pessoa,joao pessoa,2019,0.0,5.0,0.0,485.0,0.0,27.0,0.0,0.0,1.0,142.0,192,0.0,0.0,6,263.0,9.0,1455.0,92.0,909.0,317.0,970.0,2.0,0.0,355.0,184,4.0
2611606,PE,Recife,recife,2019,0.0,8.0,0.0,1485.0,0.0,431.0,0.0,0.0,1.0,729.0,483,0.0,0.0,22,206.0,10.0,4546.0,105.0,1843.0,1897.0,3061.0,4.0,0.0,311.0,457,2.0
2211001,PI,Teresina,teresina,2019,0.0,5.0,0.0,1809.0,0.0,259.0,0.0,0.0,1.0,163.0,242,0.0,0.0,14,249.0,21.0,5114.0,83.0,1153.0,492.0,3305.0,4.0,0.0,332.0,224,8.0
4106902,PR,Curitiba,curitiba,2019,0.0,3.0,0.0,4777.0,0.0,1091.0,0.0,0.0,0.0,3458.0,338,0.0,0.0,9,144.0,79.0,6867.0,173.0,2225.0,1572.0,2090.0,5.0,0.0,317.0,245,23.0
4205407,SC,Florianópolis,florianopolis,2019,0.0,1.0,0.0,463.0,0.0,218.0,0.0,0.0,0.0,1279.0,70,0.0,0.0,0,45.0,9.0,666.0,36.0,0.0,1538.0,203.0,0.0,0.0,81.0,61,12.0
2800308,SE,Aracaju,aracaju,2019,0.0,3.0,0.0,348.0,0.0,206.0,0.0,0.0,0.0,187.0,209,0.0,0.0,2,0.0,37.0,969.0,0.0,293.0,468.0,621.0,0.0,0.0,208.0,170,17.0
