ibge_id;dependencia_id;ciclo_id;ano;ideb;fluxo;aprendizado;nota_mt;nota_lp
17;4;EM;2021;6,1;0,9846;6,2205;339,19;318,44
21;0;EM;2021;3,6;0,9032;4,0066;247,27;256,79
21;2;EM;2021;3,5;0,8902;3,9184;243,99;253,98
21;4;EM;2021;5,2;0,9551;5,4619;301,34;303,28
22;0;EM;2021;4,2;0,9378;4,4881;267,87;269,63
22;2;EM;2021;4;0,9594;4,1828;256;260,37
22;4;EM;2021;6,2;0,9785;6,3791;341,19;327,16
23;0;EM;2021;4,3;0,9466;4,5863;269,21;274,93
23;2;EM;2021;4,4;0,9851;4,4215;262,97;269,78
23;4;EM;2021;5,9;0,988;5,9636;321,35;318,02
24;0;EM;2021;3,4;0,7835;4,2986;258,76;265,52
24;2;EM;2021;2,8;0,6926;4,0918;250,99;258,99
24;4;EM;2021;5,5;0,9823;5,6009;307,64;306,65
25;0;EM;2021;4,1;0,9451;4,3761;261,96;267,69
25;2;EM;2021;3,9;0,952;4,1398;252,78;260,52
25;4;EM;2021;5,4;0,9728;5,5193;306,37;302,39
26;0;EM;2021;4,4;0,9256;4,7794;276,33;281,15
26;2;EM;2021;4,4;0,9484;4,6373;270,71;276,93
26;4;EM;2021;5,7;0,9843;5,7542;314,91;310,07
27;0;EM;2021;3,6;0,8609;4,203;255,37;262,31
27;2;EM;2021;3,5;0,8668;4,0468;250,02;256,9
27;4;EM;2021;5;0,9799;5,0588;284,7;291,96
28;0;EM;2021;4,1;0,9448;4,3403;261,78;265,47
28;2;EM;2021;3,9;0,9391;4,1021;252,88;257,91
28;4;EM;2021;5,5;0,9886;5,5772;308,11;304,63
29;0;EM;2021;3,6;0,8852;4,0965;251,55;258,78
29;2;EM;2021;3,5;0,8831;3,9597;246,49;254,39
29;4;EM;2021;5,3;0,938;5,6891;310,45;309,91
31;0;EM;2021;4,2;0,8827;4,7707;276,99;279,95
31;2;EM;2021;4;0,8769;4,5621;268,66;273,83
31;4;EM;2021;6,3;0,986;6,374;341,07;326,93
32;0;EM;2021;4,5;0,9176;4,902;283,57;282,55
32;2;EM;2021;4,4;0,9315;4,7706;277,95;279,04
32;4;EM;2021;5,6;0,9698;5,7725;320,81;305,76
33;0;EM;2021;4;0,8863;4,5224;267,52;272,25
33;2;EM;2021;3,9;0,9255;4,2157;254,89;263,61
33;4;EM;2021;4,3;0,8038;5,3886;303,48;296,37
35;0;EM;2021;4,7;0,949;4,9227;280,81;286,52
35;2;EM;2021;4,4;0,9393;4,6338;268,96;278,34
35;4;EM;2021;6,2;0,988;6,2707;336,01;324,78
41;0;EM;2021;4,9;0,9617;5,0448;287,48;288,42
41;2;EM;2021;4,6;0,9617;4,7886;277,01;281,13
41;4;EM;2021;6,1;0,9907;6,118;331,32;318,98
42;0;EM;2021;3,9;0,7792;4,9949;286,73;285,79
42;2;EM;2021;3,6;0,7395;4,8042;278,84;280,45
42;4;EM;2021;6;0,9806;6,0889;332,03;316,37
43;0;EM;2021;4,3;0,8707;4,9112;281,26;285,33
43;2;EM;2021;4,1;0,8635;4,7061;273,21;279,18
43;4;EM;2021;5,8;0,9622;5,9871;323,36;317,7
50;0;EM;2021;3,8;0,82;4,6635;273,91;275,68
50;2;EM;2021;3,7;0,8322;4,4818;266,62;270,38
50;4;EM;2021;5,9;0,9869;5,9472;325,23;313,28
51;0;EM;2021;3,7;0,8494;4,4143;263,7;268,61
51;2;EM;2021;3,6;0,8365;4,2922;258,59;265,25
51;4;EM;2021;5,5;0,9883;5,5903;312,91;301
52;0;EM;2021;4,5;0,936;4,7849;277,13;280,77
52;2;EM;2021;4,5;0,9778;4,6405;271,59;276,32
52;4;EM;2021;5,7;0,9856;5,7974;315,9;312,03
53;0;EM;2021;4,5;0,8822;5,0859;289,21;289,54
53;2;EM;2021;4;0,8518;4,6595;271,4;277,77
53;4;EM;2021;6,2;0,989;6,2643;338,39;322,12
